Review,Rating
"We happened to go to this place on last sunday and it was mothers day and they had flat 50 on the buffet meal for the mother which i really liked..Needless to say the Ambience and music was really good .We had a reservation but had to wait fir 10 mins to get a seat..They served us mango juice as wrlcome drink which tasted really good.The buffet spread was one of a kind:
Strters : Veg : paneer tikka, veg spring roll and veg cutlet.They were lil cold but the taste wad good
Non veg : chicken kebab , chicken manchurian and fish .Fish was very tasty though it coupd taste better if it was hot.Chicken was fair enuf.
Singapore Noodles,Egg salad and pasta : They were good but it was cold.
Main course: mutton rogan josh, chicken tikka masala,palak paneer All were equally good
Biriyani: Egg frued rice and chicken biriyani were really great.
Desserts : moong dal halwa tasted really yumm, ice cream,gulab jamun,cut fruits,banana cake

The staff were too slow in service and the food was refilles very slow.We had to wait for quite long time to actually eat to stomach full.

They could improve the above points to stand better!
Overall :3.2",1
"Soumen das and Arun was a great guy. Only because of their behavior and sincerety, And good food off course, I would like to visit this place again.",2
"Hostile staff, okeish food, not so great ambiance. Not sure how the rating on zomato stands at 4.1
Starters we're decent but main course was horrible.
Will not suggest this place.",0
"I have been to this place twice and had 2 different experiences.
1st time it was with colleagues and I loved the food and ambience and service and everything except the prices as it was too costly. Their special baked biriyani is work a try, it's unique and tasty.
Because of the good experience I revisited this place with my sister. She orders a mocktail and it was terrible.they replace it but it was still not good. And then I asked them about a starter, if it was with bone or boneless and they told me it was boneless, later on the arrival they told me that it comes with both. It's disappointing to know that the staff doesn't know about the menu.",1
Food is good.we ordered Kodi drumsticks and basket mutton biryani. All are good. Thanks to Pradeep. He served well. We enjoyed here. Ambience is also very good.,2
Food quality and taste is not good. Super slow service. Nice ambience but very poor in customer handling. Lot of items not available even if in the menu.,0
Was there for office lunch outing. Rating would be mixed because food was fine but service was very bad. Booked table a day before but still had to wait for 30-40 mins to get one. Manager was polite but gave some rubbish reasons for bad service. Ambiance is fine.,1
"Ambiance is good, service is good, food is aPradeecp and subro best service
Food is good. Papiya good hostess and ur caption very good. This is 4star restaurant.",2
"This was my worst experience at a restaurant ever. First our starters were served after half an hour of ordering and the chicken popcorn had a hair strand in it yuck! Then the guy who took our main course order forgot about it completely so we had to order again after waiting for almost an hour. Then had to wait for another half hour to get our food. And the worst of all, they got us chicken lasagna instead of veg lasagna. We figured out that it was chicken right before one of my staunch vegetarian friend almost ate it. I do not recommend this place at all. There are so many better places in Gachibowli that could save your time and provide better service.",0
"Taste: there was huge hype about biryani hence I tried it, didn't find the taste up-to par, not really happy with the food taste.
Ambience: the place was well versed but not calming enough to keep you concentrated on food. The AC wasn't working properly which led to uneasy food experience.
Service: it was alright. Don't have much to talk about it!",1
"Its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. Its reasonable as well. Really a must visit place.",2
"Had a very bad experience here
beyond flavours really puts you beyond all the flavours
had gone here for dinner and the next day had to get hospitalised because of food infection
I guess the food was not served fresh",0
"I went to this place for lunch buffet by seeing the high ratings in zomato.

Good things first, the service is excellent! The waiters literally takes care of you when you are there.

Food: nothing great. As am more of a ""starter"" person , I love to have it in abundance but the starters were served on the table which ofcourse it's not served the way you like it. The sushi and Pani Puri were very okay-ish type
Main course was very normal, nothing extra ordinary. Taste of the food was very normal.
In dessert the red velvet cake and jalebi was good.

Service: it's very good and all the servers are trained very well.

Ambience: The place was jammed packed even for a Tuesday lunch. Couldn't enjoy that much as there was rush in front of every counter.

All in all a very okay-ish lunch!",1
Well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. Tawa fish was ok... Basket Biryani disappointed us... biryani was ok but not flattering as they claimed.. Staff was polite and prompt especially pradeep and Suman.,2
I liked the food and ambience but the problem is with the staff.. they are not so responsive.. we’ve ordered one item but we got something else.. otherwise place and the food are good..,0
"Heard about this restaurant from a friend and choose this place to have team lunch.

Rating

Ambiance: 4
Food :3
Service :4

There were many items on list but taste was not so good.

Don't be fooled by word unlimited beverages. only a single type of beverage is unlimited and you can't choose the flavour.

Totally felt disappointed by taste but customer service was good.",1
"Excellent food , specially if you like spicy food . Courteous staff . Shubro and pradeep and papiya gave excellent service to our corporate team dinner . Overall great for team dinners and party",2
It’s a worst service experience. Food was OK. They took 45mins to get veg pulav. Never seen a restaurant to take such time. Won’t visit again.,0
"Oh I had so much hope on this place looking at the descriptions and all, but this just turned out to be an imitator of ABs, may be with few concept changes here and there. Ok the food is fine and all but it's just the expectation of being different.",1
"Came for the birthday treat of a close friend. Perfect place for a treat like this. Very hospitable and cooperative staff. Food was delicious, ambience was really good with the music and the lighting. Chili honey lotus stem is a must try here. Special mention to Papiya who took good care of us.",2
Waiters are not good enough and you will get items which you have not ordered. Overall a bad experience. Waiting time is more than expected...,0
"No that good when compared to Tolichowki branch... Starters are good. But not the main course and Biryanis.
Tolichowki is the main branch for shah ghouse.",1
The service was great and the food was awesome. The service staff Manab and Papiya were very courteous and attentive. I would like to come frequently to this place,2
"Pathetic and horrible experience
Ambience and hospitality 1
Food 1
chairs and tables were broken food is cold and tasteless
Buffet arrangement is not good could be a bit more spacious",0
biryani was oily,1
"Very good ambience, amazing food ,good service and friendly staff - Pradeep, Papiya and Shuvro :) will definitely visit again! And loved the design of their menu card.",2
"I have ordered 2 special chicken biryani's and received two ordinary biryani's with bones! This is a big time disappointment. This place was known for its Biryani and now I feel like I have had a worst biryani.

It costed 400 bucks each and receiving the same 200 bucks biryani has been my worst experience.",0
"In regular days, its a good place to have a good Biryani. But during Ramzan, the quality of food goes down in terms of taste. But Haleem is always good here.",1
Food was very good. Soup was as expected. In starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. Service was great. Frequent visits from Papiya to know our experience and also about the food was really impressive.,2
"Very bad dine in experience I had with this restaurant. We booked this place for office lunch with some instructions, but none of them met by the restaurant. Overall very bad experience",0
Ordered special chicken biryani. Biryani was great in taste but ambience was not good. Also this restaurant is too unhygienic and over crowded.,1
Food is too good. Telangana kodiak fry is must try.Mutton biriyani is too good.Papiya helped to choose best dishes and attended very well.Must visit.,2
"Mumbaikars have heard about the famous paradise restaurant... Hence decided to try out this one with great hope.
Ambience at this place is great; however i was not really impressed with the food and service.

We ordered :
Chilli chicken : 2.5/ 5
Paneer tikka : 3.5/5
Chicken masala : 0.1/5 ... lowest rating possible
Chicken biryani: 3/5
Garlic naan: 2/5

The staff were least bothered and kept us waiting for like 20 mins jus to take order and after all that the food was very disappointing. This is only a much hyped restaurant. I would not go and recommend this place to anyone for frequent dine experience.",0
Shwarma was really good. Biryani was average with hard huge chicken pieces. Paneer dish was also average. They have seating for everyone from bachelors to family.,1
Food and ambience is fantastic.. Waiter Manav Maji was really quick in his service.. Cheese Balls is a must try starter as it was very scrumptious,2
We were 4 people who visited this place on Thursday night....Ambience and service are good .Food is disappointed.Not worth for money we pay.,0
"Me and my friends has a mandi at Shah Ghouse restaurant which was at Gachibowli, and our experience was really poor comparing to others restaurants in Hyderabad.",1
"Came here for lunch and the food was good and tasty. We tried buffet and all the items in veg and non-veg were tasty.

The ambience and service were also good, and the staff were courteous.

shubhamtraveltales.wordpress.com",2
"Hi
This time, we are not satisfied in flechazo.. Starters are not much hot.. most of them are room temparature or little warm.. we have asked for fish starter.. we got only two pieces.. bbq wings are not good.. tooo hard... mango chilli prawns not much tasty... only maida coating smell.. no flavour nothing... we are not happy with flechazo, gachibowli...",0
Food taste better here. The food servicing is not that much good. The food preparation time is bit high. If you have patience to wait then you can give a try for it.,1
The best thing about this place is the food. My favorite go to dish here is definitely Alfredo Pasta although other items are good as well. And the service and behavior of the staff is top-notch. We we're attended by Mr. Soumen Das and he was extremely polite. Will definitely visit soon.,2
"I’m not going to this place again. Though the ambiance is good, Flechazo Gachibowli deeply lacks a sense of hygiene. We went there as a family. The first thing that caught our attention was the extremely sticky floor. The chefs at the live counters very well display the hygiene standards of this place. You find them standing idle meddling with the ingredients, scratching their heads and using their gloved hands to handle everything around. Another unique practice I noticed was that, while the waiter serves you the starters, he is constantly touching the serving spoons/tongs to the half eaten food in your plate. Then you find him serving the same starters to the next table.
The place is chaotic, with open dried up ingredients and food kept at most counters. The main course buffet has limited choices too.
But for the well thought of ambience, there is nothing positive I could write about this place.",0
Ordered Regular Chicken Biryani but the rice was not cooked and the i ordered double masala which i didn't get and the taste was not that good which was great when i ordered before.,1
Polite and friendly staff. Nice ambience and good spread of menu. Drinks are awesome. Service is very good by manav... looking forward to seeing it again...,2
It is seldom you see a restaurant with 4.9 rating. My friend and I had come with great expectations. But the restaurant didn't manage to live up to any of it. Even the 2 rating is because the staff was very polite and we had no complains there. Coming to the food: the sushi isn't good. The chef isn't aware that you don't give mayonnaise on sushi but wasabi. The starters were okay and we didn't repeat anything. In spite of being non vegetarians the only item we liked was the crispy corn. Then in aglio olio they used macaroni. The main course had a terrible array of dishes. And none was good. The biriyani had no chicken. The couscous salad had just quinoa and olives. The chocolate ice cream had an overdose of milk. All in all a very forgettable experience. However to reiterate the staff was good and after we politely told him about our experience he insisted on providing something special.,0
Taste is good but the service at gachibowli was really poor which compelled the guests to look for another option despite wanting to stay. ..,1
"Food is really good. We had vegetarian items including paneer, mushroom and kofta. Additionally service from Papiya , Shuvro was really good.",2
"Apart from the starters; the main course, dessert, the wonky table we sat on was just a big disappointment. The ice cream was made with just cream and chocolate sauce with dry ice and that is not good.",0
I have ordered Egg fried rice and some roties from here at night 11'o clock. The food was ok-ish. I don't know if I ordered in time. Roties were also not that much good.,1
"Beautiful, cozy and classy at the same time, this place is truly recommended for your special days. With 15 percent corporate discounts, you can treat your cotorie well without burning a hole ur pocket. Also, the interior is done so well, you ll love the vibe. On the menu, honey chilli lotus stems, basket biryanis, sizzling brownies were my favourite. Also loved the tomato basil shorba, different from the creamy standards in other restaurants. I'm definitely making more visits to Beyond Flavours. Special mention to Papiya, our hostess for the evening, excellent service :)",2
"Liked the food it's was good but not anything special or memorable, good service but I do not appreciate how the waiters pestered me into writing a review. No wonder this place a high rating staff will keep bugging you till you write a good review",0
Ordered chicken briyani and vegetables briyani. It's was good as usual!! If they could increase the paneer in the veg briyani that would be brilliant.,1
"please was good but it was quite expensive and coming to taste we can rate 3 out of 5, we cant click better pictures wen we visit in night🤣🤭best in day time for pics",2
"Food is good, but for the second time around they didn't send us our complete order. Had ordered 4 Naans, got only 2. Also got Daal Tadka instead of Daal Makhani. Not sure if its the Ramadaan rush, but now twice in a row our online orders thru Zomato have been messed up. Probably will avoid going forward.",0
"Food is decent and tastes palatable, not the best, though not very comfortable with the hygiene. Ambience is average, service is poor. Good value for money if one can ignore the ambience and service.",1
Service was too good and fast. Even these people were so polite and well behaving. Manav and pradeep you were good. Hope everyone behaves the same way,2
"Its a worst thing happened with me.we ordered for mutton family pack.here i got chicken familypack🙄i dont know who's neglegance is this..either restaurant person or delivery boy...i made a call to restaurent to know what's the problem is,but they are not responding at all..please check when you asked for food delivery....",0
"This place was on my Hyderabad bucket list for a long time. The ambience was awesome to top that it was IPL 2019 final. The live dj was great. Coming to the food we ordered a pitcher of Belgian brewed 🍺 (warning it's a jug rather than a pitcher) but that's the best beer I ever had. The beer was accompanied by chicken 65 and pepperoni and lamb pizza. Both of them were outstanding.
The worst part was the service the place is short on staff. One waiter was waiting 7 tables and he constantly kept on ignoring us as we were the last table.",1
"We had our farewell feast here recently enjoyed very well very good management so does the boys who gave complimentary food and made us more happy
Food was perfect desserts, starters was wonderful",2
"I have placed order for Mutton Haleem Special - 3 Qty and Biryani Rice - 1 Qty. Shah Ghouse and Zomoto together delivered shortage of Mutton Haleem Special - 1 Qty, informed to deliver executive while collecting parcel and reportes to Zomoto support. Zomoto team said that no response from Shah Ghouse regarding shortage delivery. Finall Zomoto also not confirmed anything and accepted refund only missed item value. Packing also very unhygienic. Totally upset with Shah Ghouse and Zomoto.",0
"Over the moon... Name is not matching with ambience. There is no roof top seating for this brewery. Outside seating was just average, atleast the same ambience can be in the second are third floor. Service was very quick and fast. Because there is no other brewery in surroundings we can visit to this place.",1
"Excellent experience, mouthwatering food, good ambience, a must go place in hyderabad. We were served by Shubhro and Papiya. They were awesome in their behaviour. Had an enjoyable evening with friends.",2
"I heard Haleem will be so good, etc etc but taste is not that great as others said. Just boiled the meat and grinded like paste. Nothing special in it",0
"I was really excited about this place as I have heard great reviews about the food .So i went there with a friend to try out .
Ambience: Its beautiful and so lovely and happening .
Food : We ordered irani chicken tikka and a mexican pizza .The chicken tikka was a lil undercooked and also it was bland .
Dint like at all . The pizza was good and loaded with cheese and veggies.
Service : Its bad - really bad .. Might be the only reason i would not want to go again .
There are some great reviews about this place - but my experience was not nice at all. So dissapointed
+1 is for the ambience",1
The place is very good.. 5* to the live music.. She is just superb with beautiful voice.. Food is nice n loved the lightning..😍entrance is also very nice..,2
"Ordered kaju panner, they have delivered chicken curry. So disappointed. Enquired with Zomato delivery boy he says we just pick the item and come.",0
"Been to OTMBC basing on friends suggestion.Keep reminded that stags r not allowed to ground floor may be on weekends. Disappointing but we made our minds to get onto first floor, gracious ambience,nice music and courteous staff. Multiple options to try from their Brewery and food was ok. Recommended place for hangouts with friends...",1
"Sonalin has a great voice.. 😍 must visit the place once.. became fan of her. The food is good.. 5 star from my side. Live music, lightening everything is just awesome 😍",2
I ordered mutton biryani for lunch today. The mutton was not cooked properly. It was hard and unchewable. I had high expectations from this restaurant as I had heard good feedback from a friend. I was really dissapointed.,0
"The place and ambience was good.Only sour point was our waiter Kundan who told us to change places as soon as we were seated (maybe to accommodate his regular guests who tip him well).I had Zomato gold membership and showed him the same.Instead of taking a photo of the same,he started surfing the phone. When I objected,he denied checking the phone. Though the food and place was good,the waiter spoiled the mood just with his creepy attitude, which cost the two stars.",1
I heard her voice..she is too beautiful with amazing voice ..just love her voice the way she sings 😍 became fan of Sonalin Priyadarshini. Good place must visit. The food is also nice..,2
They send me wrong order I ordered mutton biryani and they send me chicken biryani and this app is worst app we can't even get in touch with customer care.,0
"Went here to catch up with a friend, very near the ORR entrance and right beside the main road. The interior was well done with the brewing machine at display which was the centre of attraction for most people visiting there. The seating was plush and comfortable. The choice of food was aplenty and the service was very prompt and homely. The preparation and plating everything was about perfect, but we did not liked the Lemon soda, it had some weird taste. In all it was good.",1
Sonalin is a very good singer in the city.. beautiful face with beautiful face must visit this place .. Beautiful live music.. loved it.. 😍 loved the food as well. Very good lightning.,2
"I have ordered multiple times from this restaurant and I have never been so upset. Of course I have recieved wrong orders from this place once or twice before which I ignored and not reported thinking these might be human errors but its beyond those now. Orders can't go wrong so many times when you have such a full fledged food business across the city. Yet another incident today where my order was wrong. You can check with my name what I ordered and find the attached picture of what you sent in my very recent order which was on 7th May'19.

Hope you people learn from your mistakes and yes I wouls also like to bring it to notice that the zomato support is no good either. They deny support right on your face which is unprofessional and unethical both at the same time. Guess Zomato needs to upgrade their standards and teach their support reps about what customer service is about and how to do it right.",0
Overpriced! Coming to the weekends they doesn't make the food tasty! Fish was not good there is no flavor at all I the food . And 3* only for the ambience,1
"Food is descent enough. Desert options were also good
Starrers were also tasty.
One bad experience ee had is waiting time even though we booked table prior time.",2
"When you will order ,you will get other item ..surprising restaurant..wheather you order chiken you will always get veg cheap cost item. Better to don't order food my suggestion ..because I ordered more then twice got less cost cheap unordered item ..save money",0
"#6packfoodie goes The Fisherman's Wharf!

Food:5/5 (why 3/5 in the main review then??)
Ambience: 5/5
Courtesy and staff: 1/5
Zomato gold experience: 1/5

When we reserve table, we expect to get the seat preference. I booked the table for 2 with seat preference as Outdoor seating. The issue was the lady who was attending us directly said that you've booked indoor seating, when i did show the details about my booking then she said ""Outdoor seating cannot be reserved"". If this is the case can you guys please update the same in your page. Disappointed.

Finally after the discussion, we decided to sit on the upper floor with a good view, since Outdoor seating cannot be reserved even with the prior booking. Moving on lets go to food.

Ambience: The entire olace has goan vibe to it. The area is huge and there is a lot space between tables. The sections are divided into shack like structures named after the beaches in Goa.

Drinks: LIIT, one of the best LIITs I had in Hyderabad. The lime mint juice was also tasty.

Food: Ordered beef chilly fry. The tenderness of the meat was perfect. Spice level, presentation was worth the price. They have ""as per size"" menu for their specialities such as lobsters, prawns, Pomfret. We had chose the butter garlic tiger prawns. Again, the presentation and the taste was class apart. The spice balance was fantastic.

Now comes the worst zomato gold experience.

Before ordering as you woukd expect, i unlocked my zomato gold, which means the lowest priced dish is complimentary (beef chilly fry in my case, since it was lower priced among the two).

The guy who served us didn't come with the bill. Another guy came up, saying we cannot give you the lower priced dish as complementary, because ""as per size"" menu is not included in the zomato gold. Which means you have to pay for everything!!!

This was never mentioned anywhere, neither it was informed to us by the guy who served us amd later camouflaged somewhere.

We had to pay for the entire bill, irrespective of the zomato gold because of unawareness of the staff.

Later ordered one more dish as a take away, which was made complementary.

If potion size and value for money is what you're looking for then this olace is not for you. If you're a sea food lover and want goan ambience in Hyderabad, then thumbs up.

Peace✌🏻",1
"Excellent food and very good service by soumen das..
Ambience was good too with live music. Food was served timely. Decor of the restaurant was amazing as well.",2
The waiters were very rude that the hotel is very busy...if you ask for starters and soups they say it will late order biryani🤨🤨...Inam shocked with their behaviour with customers,0
This place has good ambiance but i had a weird experience with food. The menu drums of heaven mentioned chicken wings but we were served drumsticks instead. Upon enquiring the respective guy tried to convince us the drum sticks are drums of heaven. When we had to show him menu and explained the difference for crying out loud he said there is a mistake in menu and went. Next u guys be the judge.,1
My review for this place would be 5star for the ambeince and the service from the staff which lacks in lot's of place even though the food is good in places like these. Special hey to papiya shuvro!,2
"The contact number in the true caller shows best cheaters in the world... Good
I had ordered for mutton biryani nd I got noodles which are ugly... Wow I am so happy for that
Good keep it up(bullshit)
How careless they are for delivering this type of service to customer who orders for food
This is really disgusting and bullshit
I suggest everyone not to order any food from this restaurant(Shah ghouse gachibowli)
Better remove service from zomato
Many of our friends had many issues from this restaurant, like delivering different food from ordered food, and delivering one shawarma instead of two and others
Zomato authority should take of all these problems which are spoiling the name and fame",0
"Situated at end of the city. Very Spacious and Ambience makes us feel like it was in Goa ! Theme restaurant like a fisherman's place ! Number of sea food items available! We can select a fish and make them prepare in customisation way ! We visited for a friend's party , ordered many items but we are not satisfied with the taste ! Soup tasted so bad ! Prawns and Fish items are not so much tasty ! Potato Starter was good ! Squats in fish was good ! Ordered Lemonade but not much great than I tasted before !",1
"It was a very nice experience. Food was amazing. Friendly staff, with welcoming attitude. Papia was very friendly and accommodating. Good ambiance. I will definitely recommend this place.",2
"I ordered an egg biriyani and got a chicken piece in it, disgusting! Never ever going to order from this restaurant again. Disappointed.....",0
"Visited this place on Saturday evening.
Had stuffed crab , fish starter, chicken in goan style ( was very spicy),stuffed chicken.

In drinks we had bull frog, drink was strong and tasted good

We went to have sea food here, only one crab was available that is very big one .

Ambience is nice. I didn't liked the food much.
This place is very expensive also.

Overall not very happening place",1
"Had dinner with my friends. Menu is perfect, something for everyone. Service was awesome and Papia was very accommodating. Good ambience with amazing live music. Will be back definitely!",2
not at all fresh,0
I had ordered gobi methi paratha.. it was ok. Not good. It was too oily. Not much taste. It tasted like it was a re-heated paratha. Not fresh.,1
Service experience was very good especially by Papiya. Food served was very good and tasty and they served it very well. I would like to visit Beyond again and will recommend it to friends for its food and its reasonable price.,2
"Ordered veg biryani here, the vegetables they used especially beans are awful. The are almost became like drumstick on chewing and cant eat them. Will never order again neither recommend to any.",0
Food was good but it was all leaking from the plate. And so quantity was very less as compared and i expected rice as well with the thali but it was missing,1
"Service , Food and Ambiance was very nice. Staff was very humble while taking order and while serving food. Live music was like cherry on the cake",2
"Worst food, no quality this would be the worst biryani I ever i had in my entire life. This the chicken biryani without chicken and the chicken is mashed up and keema and I would say this is chicken keema biryani 🤣🤣🤣.",0
"Intially, yes,the food was really good they were maintaining quality standard of food very well,which is rare in Indian restaurant nowadays I don't see that happening these.Today I have found hair my fit thali,which shows how much hygienic they are ,apart from this so many times I have seen they miss on cutlery or few items. I mostly order fit thali so I know very well what it consist of not just one time so many time items are missing.",1
The food was ❤️.. We ordered banjara tangdi for starter which was the best among all.. Papiya Shuvro was well mannered and her service was best among all.,2
"We ordered egg biryani and we were delivered chicken biryani with chicken replaced with eggs. He tried his best to pose it as egg and biryani but he forgot to remove bones from the biryani.

Wouldn't order egg biryani from here again.",0
I ordered dal makhani with paratha . The parathas were good so soft and tasty .Dal makhani was ok.It was tasting some different but it was good .😊,1
Staff are just polite and responsive. Food is the best part here. And it is better as ambience also awesome here. I met two persons here named Papiya and Shuvro who are the best at their services. Food items i liked here were Basket biryani and Kodi drum sticks. Finally just loved.,2
"Ordered sechwan rice from here, the rice was not cooked properly and it was too dry and hard to eat with full off oil. I haven’t expected such food from this restaurant. They should have eaten the food first before it is sending out for delivery.",0
"For the first time tried the light lunch meal from Eat.fit which has 450Kcal (as mentioned).

Decent packaging with eco friendly cutlery though not happy with the plastic box. Chicken chettinad was average as chicken could be softer and cabbage sabji seemed overlooked with excess of oil. Chapatis were homely, soft and warm something a bit hard to get in Hyderabad. A less sweet ladoo was complimentary though some salad would have been better to make it healthier. Not sure if I would order this again, but could maybe try their salads.",1
"I came here with my parents. We ordered for Thai peneer tikka, kaju pulao and veg biryani. The kaju pulao and veg biryani were really good. This is a decent place to go with family. Shubro and papiya served well.",2
"Very very bad experience for me, the waiter servicing was very bad I really irritated a lot by this environment , very bad feeling to me I requested u please improve customer servicing l, they not even response us I should call 5 more times I really feeling very bad, for me first time such a bad experience to me😑",0
Forgot to give spoon and tissues,1
Well we’re new to Hyderabad . And I can for a fact say that it’s probably the best place I’ve eaten a buffet at in Hyderabad period . Especially id like to thank Shurvo and Papiya for their amazing service . Double metha was just too good . Overall a worthwhile experience,2
"This is bloody disgusting. I had to wait for more than 120 mins for my order. And after that got a call for cancellation of the order. If you can't sever the order let the customer know about it, don't made him wait for a long time. 120 mins of Sunday is precious for me. To hell with your service...",0
"We ordered 1 Luckhnowi chicken biryani for 130 rupees. The taste was okay. Strong smell and taste of rose water spoiled the overall experience of having biryani. But I haven't had Lucknow biryani before, so can't really judge how it exactly supposed to taste.",1
"Wonderful place with awesome ambience, best to visit at night to see all the pretty lights and to enjoy some savory foods. Shubro and Papiya were good with service.",2
"I visited this place with my brother after reading some great reviews and ratings on Zomato. Though the restaurant claims to be authentic original Hyderabadi taste the Gachibowli branch was open in 2015. Given that the ambiance and maintenance is pathetic. It looks and feel extremely unhygienic to the point that we had second thoughts eating there. Staff was extremely disorganized and there were many customers seen complaining.
So for ambiance and hygiene it's a complete NO...
Food was okay we ordered Apollo fish starter which was very hard. And spcl mutton biryani which was good but nothing exceptional and Paradise or Pista house has better taste than it. Quantity wise it was sufficient for both of us. And it was pocket friendly hence 2 ratings.
I would not be visiting or suggesting this place to anyone.",0
"Ordered the breakfast combo from zomato. The taste was good and simple. Feels just like home made food and healthy too. The breakfast combo had a bread/bun, omelette, grilled tomato and side(curry kinda ) for the bun.",1
"Good ambience and great service.We've had buffet for 25 people.The waiters were patient and we even got noodles replaced since the one served in the buffet went bad.
Shoutout to Shubro and Pradeep ,took care of our entire Afternoon.",2
I ordered chicken biryani online.. Zomato delivered it ontime but food quality was very bad.. Honestly I doubt whether they are serving chicken or some other meat.. I had to thrown the biryani that they delivered.. Very bad restaurant that I felt.,0
"A 3.5⭐️

Well the packaging is surely good along with those nice quality tiny miny boxes and their concept is kinda interesting regarding the calories and stuff for the complete diet freaks.

So i was not sure if i would like their items so just went ahead and ordered one of their Chicken Keem Paratha Wrap. Its was oily and tasted ok, not bad at all. It tasted just  like a regular keema wrap bus.

Yes it came with sugar/ honey coated peanuts and some green chutney, am not sure how it makes up the diet fit. But yes, a nice concept though!",1
